area,contentType,action,department,week,month,count,
,A,R,OSF,2/2/2014,2014-02,229537,
,A,R,OSF,3/23/2014,2014-03,186064,
,A,R,Edward,2/16/2014,2014-02,175329,
,A,R,OSF,1/26/2014,2014-01,145752,
,A,R,Edward,12/15/2013,2013-12,142960,
,A,R,Good,2/23/2014,2014-02,128966,
,A,R,OSF,4/27/2014,2014-05,118522,
,A,R,Good,1/5/2014,2014-01,113669,
,A,R,Midwest,9/1/2013,2013-09,107449,
,A,R,Edward,7/14/2013,2013-07,102428,
,A,R,Edward,8/18/2013,2013-08,100128,
,A,R,Decatur,2/16/2014,2014-02,98479,
,A,R,Edward,3/23/2014,2014-03,96748,
,A,R,Edward,12/29/2013,2014-01,95727,
,A,R,OSF,12/8/2013,2013-12,86308,
,A,R,OSF,11/3/2013,2013-11,84968,
Woods,P,R,Edward,12/1/2013,2013-12,84655,
,A,R,Edward,4/6/2014,2014-04,75801,
,A,R,Good,5/25/2014,2014-05,74275,
,A,R,Decatur,11/17/2013,2013-11,73063,
,A,R,Good,10/20/2013,2013-10,73026,
,A,R,Good,9/1/2013,2013-09,72802,
,A,R,OSF,9/22/2013,2013-09,72080,
,A,R,OSF,4/20/2014,2014-04,71143,
,A,R,Good,4/27/2014,2014-04,66273,
,A,C,Edward,7/28/2013,2013-07,65902,
,A,R,OSF,7/14/2013,2013-07,65791,
,A,R,Edward,4/27/2014,2014-05,65153,
,A,R,Decatur,1/19/2014,2014-01,64651,
,A,R,Good,7/28/2013,2013-07,60553,
,A,R,Good,6/9/2013,2013-06,60145,
,A,R,Good,3/2/2014,2014-03,59931,
,A,R,Decatur,9/22/2013,2013-09,58614,
,A,R,Edward,9/1/2013,2013-09,57187,
,A,R,Good,11/24/2013,2013-11,56312,
,A,R,Advocate,2/23/2014,2014-02,55936,
,A,R,Jersey,2/2/2014,2014-02,55846,
,A,R,Good,7/28/2013,2013-08,53028,
,A,R,Good,12/15/2013,2013-12,51545,
,A,R,OSF,10/27/2013,2013-10,51319,
,A,R,Jersey,5/25/2014,2014-05,50761,
,A,R,Decatur,12/8/2013,2013-12,49512,
,A,R,Midwest,11/17/2013,2013-11,49117,
,A,R,Decatur,7/7/2013,2013-07,48860,
,A,R,Midwest,7/28/2013,2013-07,48701,
,A,R,Institute,5/25/2014,2014-05,48379,
,A,R,McDonough,2/9/2014,2014-02,48136,
,A,R,OSF,8/11/2013,2013-08,47805,
,A,R,Decatur,3/16/2014,2014-03,47307,
,A,R,Midwest,8/25/2013,2013-08,47023,
